Measure,Control,Test,Case_mean,Control_mean,statistic,p-value
pairs_matching_errors_Z,NoCNV_Control,"one tailed t-test, less",-0.03569656134024213,0.002951452144030358,-0.21875204714022808,0.4134226132500172
pairs_matching_errors_Z,LargeRare_Control,"one tailed t-test, less",-0.03569656134024213,-0.01613641975814681,-0.10856462089784115,0.45678535024936395
pairs_matching_errors_Z,NEJM_Control,"one tailed t-test, less",-0.03569656134024213,-0.09919711175148242,0.3309678680491472,0.629599468921747
reaction_time_mean_Z,NoCNV_Control,"one tailed t-test, less",-0.05572489856953034,0.006999821562795695,-0.9307152455869845,0.17600162835636562
reaction_time_mean_Z,LargeRare_Control,"one tailed t-test, less",-0.05572489856953034,-0.0556825079852707,-0.0005922296748144173,0.4997637473358709
reaction_time_mean_Z,NEJM_Control,"one tailed t-test, less",-0.05572489856953034,-0.17086941949867432,1.5408375086185508,0.9382604189854503
fluid_intelligence_Z,NoCNV_Control,"one tailed t-test, less",-0.4362077009892154,0.010017350949747558,-3.359399338283952,0.00039101390350612306
fluid_intelligence_Z,LargeRare_Control,"one tailed t-test, less",-0.4362077009892154,-0.10137222744797748,-2.562319222897221,0.005248133095771693
fluid_intelligence_Z,NEJM_Control,"one tailed t-test, less",-0.4362077009892154,-0.2031534576672803,-1.8071222853321491,0.035557301034534375
numeric_memory_maxdigits_Z,NoCNV_Control,"one tailed t-test, less",-0.6392822336460007,0.00574118529270748,-3.5368061338274877,0.00020294347650531345
numeric_memory_maxdigits_Z,LargeRare_Control,"one tailed t-test, less",-0.6392822336460007,-0.08144257848331948,-2.987124914933711,0.001447007670195485
numeric_memory_maxdigits_Z,NEJM_Control,"one tailed t-test, less",-0.6392822336460007,-0.06455655973802,-2.901849421934228,0.0019399243276109973
sd_sub_correctmatches_Z,NoCNV_Control,"one tailed t-test, less",-0.2886795352859059,0.003713860730375061,-1.6527977640286498,0.04919318834152342
sd_sub_correctmatches_Z,LargeRare_Control,"one tailed t-test, less",-0.2886795352859059,-8.945759652726868e-05,-1.60105321223692,0.05485092106488935
sd_sub_correctmatches_Z,NEJM_Control,"one tailed t-test, less",-0.2886795352859059,-0.14569753414178538,-0.7710857276710784,0.22050216666841427
